"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KLWRLEFQ","journalArticle","2022","Odun-Ayo, Isaac; Owoka, Emmanuel; Okuoyo, Otavie; Ogunsola, Opeyemi; Ikoh, Obaro; Adeosun, Olumide; Etukudo, Deborah; Robert, Victoria; Oyeyemi, Gabriel","Evaluating Common Reconnaissance Tools and Techniques for Information Gathering","Journal of Computer Science","","","10.3844/jcssp.2022.103.115","","A reconnaissance attack is a commonly overlooked step in penetration testing but a critical step that could help increase the effectiveness of an attack on a target. However, it is a common attack faced by companies and institutions, among others. It enables the attacker or penetration tester to gain valuable information on the target and select the best tools and methods that would make the attack successful. This study aims to identify and review existing state-of-the-art methodology for reconnaissance attacks based on certain techniques and evaluation metrics which will be beneficial to professional, ethical hackers in selecting the best-fit tool for a successful reconnaissance attack and enlighten organizations and the general public of the potential harm of a successful reconnaissance attack. This study explored seven online databases, which include Springer, Elsevier, Wiley, IEEE, ACM, ArXiv and Google Scholar. A total of 1306 publications were retrieved. Several screening criteria were executed to select relevant articles. Finally, 19 articles were identified for in-depth analysis. A quantitative evaluation was conducted on the selected articles using two search strategies: Techniques and source. A Quantitative Analysis (QA) was conducted on the selected articles and the outcome based on existing reconnaissance tools shows that 95.2% of the tools allowed experts to gather information by running their necessary command from the command line. While 4.8% of the tools do not provide a command-line interface allowing users to launch it from the command line interface while specifying some parameters to customize how it runs. 61.9% of the tools are network-based as they can be used to gather about the target's network infrastructure such as protocols, ports, DNS, IP address, hosts and the general network architecture. At the same time, 28.5% could be classified as hybrid as they allow the attacker to gather system-based and network-based information. This study concludes with findings that show that some of the tools operate in a different capacity; the best-fit tool is massively dependent on the attacker or penetration tester and the scenario's situations. Therefore, a tool should be selected based on the user's preference and the attack style.","2022-03-16","2024-10-23 14:53:05","2024-10-23 14:53:05","","103-115","","","18","","Journal of Computer Science","","","","","","","","","","","","","ResearchGate","","","","/Users/shoggyboy/Zotero/storage/SIKGMYMN/Odun-Ayo et al. - 2022 - Evaluating Common Reconnaissance Tools and Techniq.pdf; ","https://www.researchgate.net/publication/359367917_Evaluating_Common_Reconnaissance_Tools_and_Techniques_for_Information_Gathering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUJHJ2FD","webpage","2021","Bautista, Miguel Angel Diaz","How to understand and develop a Nmap of your Own — Part 1 — CyberForged","Medium","","","","https://infosecwriteups.com/how-to-understand-and-develop-a-nmap-of-your-own-part-1-cyberforged-ee92dd4bb901","Well, as we saw in the previous episode of our beloved tool, Nmap is a Swiss army knife when it comes to recognizing the services that are…","2021-03-01","2024-10-23 15:31:05","2024-10-23 15:31:05","2024-10-23 15:31:05","","","","","","","","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/2YRRSTGN/how-to-understand-and-develop-a-nmap-of-your-own-part-1-cyberforged-ee92dd4bb901.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP5VLEIS","blogPost","2023","Bandlekar, Ravitej","Nmap 101: A Beginner’s Guide to Network Mapping and Security","Medium","","","","https://ravitejbandlekar.medium.com/nmap-101-a-beginners-guide-to-network-mapping-and-security-a7ec875e52b","What is nmap?","2023-06-30","2024-10-23 16:15:09","2024-10-23 16:15:09","2024-10-23 16:15:09","","","","","","","Nmap 101","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/XH6PPRVR/nmap-101-a-beginners-guide-to-network-mapping-and-security-a7ec875e52b.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGSEAGD7","blogPost","2023","Saleem, Sadaf","Neural Networks in 10mins. Simply Explained!","Medium","","","","https://medium.com/@sadafsaleem5815/neural-networks-in-10mins-simply-explained-9ec2ad9ea815","What are Neural Networks?","2023-05-15","2024-12-30 09:52:46","2024-12-30 09:52:46","2024-12-30 09:52:46","","","","","","","","","","","","","","en","","","","","","","","","/Users/shoggyboy/Zotero/storage/5RJKEH78/neural-networks-in-10mins-simply-explained-9ec2ad9ea815.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6L8KFIE","journalArticle","2024","Abnormal AI","WormGPT's Demise: What Cybercriminals Are Using Now | Abnormal AI","","","","","https://abnormal.ai/blog/what-happened-to-wormgpt-cybercriminal-tools","","2024","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLEEDB6J","journalArticle","2024","Anthropic","Introduction - Model Context Protocol","https://modelcontextprotocol.io/introduction","","","","https://modelcontextprotocol.io/introduction","","2024","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJN37682","journalArticle","2024","Bessemer Venture","Roadmap: AI Infrastructure - Bessemer Venture Partners","","","","","https://www.bvp.com/atlas/roadmap-ai-infrastructure","","2024","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJXKX8D8","journalArticle","2025","Brandon McGrath","TrustedSec | MCP: An Introduction to Agentic Op Support","","","","","https://trustedsec.com/blog/mcp-an-introduction-to-agentic-op-support","","2025","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UE2FY4PP","journalArticle","2025","CDA","Agentic AI Threat Modeling Framework: MAESTRO | CSA","","","","","https://cloudsecurityalliance.org/blog/2025/02/06/agentic-ai-threat-modeling-framework-maestro","","2025","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSVT5N48","journalArticle","","Cornell University","arXiv.org","","","","","https://arxiv.org/","","","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA6FEWXC","journalArticle","2025","Counter Adversary Operations","CrowdStrike 2025 Threat Hunting Report: AI Becomes a Weapon and a Target","04/08/2025","","","","https://www.crowdstrike.com/en-us/blog/crowdstrike-2025-threat-hunting-report-ai-weapon-target/","","2025","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8G3PGEKT","journalArticle","2025","CROWDSTRIKE","THREAT HUNTING REPORT","","","","","","","2025","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY9IJSU5","journalArticle","2025","Dark Trace","2025 Cyber Threat Landscape | Mid-Year Review","","","","","https://www.darktrace.com/blog/2025-cyber-threat-landscape-darktraces-mid-year-review","","2025","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4H64IBH9","journalArticle","2025","Dave Salvator","Explaining Tokens — the Language and Currency of AI | NVIDIA Blog","","","","","https://blogs.nvidia.com/blog/ai-tokens-explained/","","2025","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3XJ4WTW","journalArticle","2023","Europol","ChatGPT - The impact of Large Language Models on Law Enforcement",": Publications Office of the European Union, 2023","","978-92-95220-57-7","","https://www.europol.europa.eu/cms/sites/default/files/documents/Tech%20Watch%20Flash%20-%20The%20Impact%20of%20Large%20Language%20Models%20on%20Law%20Enforcement.pdf","","2023","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VD9IMIWM","journalArticle","2024","FastMCP","Welcome to FastMCP 2.0! - FastMCP","","","","","https://gofastmcp.com/getting-started/welcome","","2024","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDKW5GXM","journalArticle","2023","Forum","Global Cybersecurity Outlook 2023 J A N U A R Y 2 0 2 3 In collaboration with Accenture Contents","","","","","","","2023","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9I3KD7WL","journalArticle","2024","Gartner","Gartner Survey Report","","","","","https://www.gartner.com/en/newsroom/press-releases/2024-10-22-gartner-survey-reveals-that-only-48-percent-of-digital-initiatives-meet-or-exceed-their-business-outcome-targets","","2024","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQIZK3ET","journalArticle","2022","Guembe, Blessing; Azeta, Ambrose; Misra, Sanjay; Osamor, Victor Chukwudi; Fernandez-Sanz, Luis; Pospelova, Vera","The Emerging Threat of Ai-driven Cyber Attacks: A Review","Applied Artificial Intelligence","","","10.1080/08839514.2022.2037254","https://www.tandfonline.com/doi/pdf/10.1080/08839514.2022.2037254","Cyberattacks are pervasive and are often regarded as one of the most tactically significant risks confronting the world today (Dixon and Eagan 2019). Cybercrimes can engender disastrous financial l...","2022-12","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","1","36","","","","","","","","","","","","","","","","","Publisher: Taylor & Francis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSSUMMVS","journalArticle","2025","Hou, Xinyi; Zhao, Yanjie; Wang, Shenao; Wang, Haoyu","Model Context Protocol (MCP): Landscape, Security Threats, and Future Research Directions","","","","10.1145/nnnnnnn","https://arxiv.org/pdf/2503.23278","The Model Context Protocol (MCP) is a standardized interface designed to enable seamless interaction between AI models and external tools and resources, breaking down data silos and facilitating interoperability across diverse systems. This paper provides a comprehensive overview of MCP, focusing on its core components, workflow, and the lifecycle of MCP servers, which consists of three key phases: creation, operation, and update. We analyze the security and privacy risks associated with each phase and propose strategies to mitigate potential threats. The paper also examines the current MCP landscape, including its adoption by industry leaders and various use cases, as well as the tools and platforms supporting its integration. We explore future directions for MCP, highlighting the challenges and opportunities that will influence its adoption and evolution within the broader AI ecosystem. Finally, we offer recommendations for MCP stakeholders to ensure its secure and sustainable development as the AI landscape continues to evolve.","2025-03","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","Security; MCP; Model Context Protocol; Vision paper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZ665BVI","journalArticle","2021","IBM","What Is Machine Learning (ML)? | IBM","","","","","https://www.ibm.com/think/topics/machine-learning","","2021","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D438XP6B","journalArticle","2024","Iturbe, Eider; Llorente-Vazquez, Oscar; Rego, Angel; Rios, Erkuden; Toledo, Nerea","Unleashing offensive artificial intelligence: Automated attack technique code generation","Computers & Security","","","10.1016/J.COSE.2024.104077","https://linkinghub.elsevier.com/retrieve/pii/S0167404824003821","Artificial Intelligence (AI) technology is revolutionizing the digital world and becoming the cornerstone of the modern digital systems. The capabilities of cybercriminals are expanding as they adopt new technologies like zero-day exploits or new business models such as hacker-as-a-service. While AI capabilities can improve cybersecurity measures, this same technology can also be utilized as an offensive cyber weapon to create sophisticated and intricate cyber-attacks. This paper describes an AI-powered mechanism for the automatic generation of attack techniques, ranging from initial attack vectors to impact-related actions. It presents a comprehensive analysis of simulated attacks by highlighting the attack tactics and techniques that are more likely to be generated using AI technology, specifically Large Language Model (LLM) technology. The work empirically demonstrates that LLM technology can be easily used by cybercriminals for attack execution. Moreover, the solution can complement Breach and Attack Simulation (BAS) platforms and frameworks that automate the security assessment in a controlled manner. BAS could be enhanced with AI-powered attack simulation by bringing forth new ways to automatically program multiple attack techniques, even multiple versions of the same attack technique. Therefore, AI-enhanced attack simulation can assist in ensuring digital systems are bulletproof and protected against a great variety of attack vectors and actions.","2024-12","2025-08-06 15:18:50","2025-08-06 15:18:50","","104077-104077","","","147","","","","","","","","","","","","","","","","","Publisher: Elsevier Advanced Technology","","","","Artificial intelligence; Cybersecurity; Large Language Model; Offensive AI; Risk assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6W229M2","journalArticle","","kaiiyer","kaiiyer/awesome-vulnerable: A curated list of VULNERABLE APPS and SYSTEMS which can be used as PENETRATION TESTING PRACTICE LAB.","","","","","https://github.com/kaiiyer/awesome-vulnerable","","","2025-08-06 15:18:50","2025-08-06 15:18:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2U5EURP9","journalArticle","2023","Krenn, Mario; Buffoni, Lorenzo; Coutinho, Bruno; Eppel, Sagi; Foster, Jacob Gates; Gritsevskiy, Andrew; Lee, Harlin; Lu, Yichao; Moutinho, João P.; Sanjabi, Nima; Sonthalia, Rishi; Tran, Ngoc Mai; Valente, Francisco; Xie, Yangxinyu; Yu, Rose; Kopp, Michael","Forecasting the future of artificial intelligence with machine learning-based link prediction in an exponentially growing knowledge network","Nature Machine Intelligence","","","10.1038/S42256-023-00735-0","","A tool that could suggest new personalized research directions and ideas by taking insights from the scientific literature could profoundly accelerate the progress of science. A field that might benefit from such an approach is artificial intelligence (AI) research, where the number of scientific publications has been growing exponentially over recent years, making it challenging for human researchers to keep track of the progress. Here we use AI techniques to predict the future research directions of AI itself. We introduce a graph-based benchmark based on real-world data—the Science4Cast benchmark, which aims to predict the future state of an evolving semantic network of AI. For that, we use more than 143,000 research papers and build up a knowledge network with more than 64,000 concept nodes. We then present ten diverse methods to tackle this task, ranging from pure statistical to pure learning methods. Surprisingly, the most powerful methods use a carefully curated set of network features, rather than an end-to-end AI approach. These results indicate a great potential that can be unleashed for purely ML approaches without human knowledge. Ultimately, better predictions of new future research directions will be a crucial component of more advanced research suggestion tools.","2023-11","2025-08-06 15:18:51","2025-08-06 15:18:51","","1326-1335","","11","5","","","","","","","","","","","","","","","","","Publisher: Nature Research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UF98EBVV","journalArticle","2025","Krishnan, Naveen","AI Agents: Evolution, Architecture, and Real-World Applications","","","2503.12687v1","","","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BDYCS9L","journalArticle","2025","Kshetri, Nir","Transforming cybersecurity with agentic AI to combat emerging cyber threats","Telecommunications Policy","","","10.1016/J.TELPOL.2025.102976","https://www.sciencedirect.com/science/article/pii/S0308596125000734","This paper investigates the transformative potential of agentic AI in cybersecurity, specifically addressing how it can enhance practices in response to emerging threats. It aims to explore how agentic AI can transform cybersecurity practices, particularly in addressing new and evolving threats, while also examining the cybersecurity risks associated with its integration. The research explores the possibilities for agentic AI to automate critical tasks within Security Operations Centers (SOCs), such as decision-making, incident response, and threat detection. It also emphasizes the risks associated with AI integration, including the introduction of new vulnerabilities and challenges in managing automated systems, which call for a reassessment of existing cybersecurity frameworks to effectively address these risks.","2025-07","2025-08-06 15:18:51","2025-08-06 15:18:51","","102976-102976","","6","49","","","","","","","","","","","","","","","","","Publisher: Pergamon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBZ8DPTZ","journalArticle","2025","Miklós Sebők; Rebeka Kiss","PROMPT REVOLUTION","","","","","https://promptrevolution.poltextlab.com/understanding-knowledge-cut-offs-in-genai-models/","","2025","2025-08-06 15:18:51","2025-08-06 15:18:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
